Drink Name,Ingredient Name,Quantity Used,Unit Type,Unit Cost,Cost Per Item
Candied Orange Limeade,,,,Cost Per Drink,$1.08
Coconut Limeade,Straw,1,Per Cup,$0.01,$0.01
Coconut Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Coconut Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Coconut Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Coconut Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Coconut Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Coconut Limeade,Ice,1,per lb,$0.19,$0.19
Coconut Limeade,Water,2,per cup (8oz),$0.03,$0.06
Coconut Limeade,Lime,1,Per Cup,$0.22,$0.22
Coconut Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Coconut Limeade,Coconut,0.75,Per Oz,$0.29,$0.22
Coconut Limeade,,,,Cost Per Drink,$1.08
Cucumber Limeade,Straw,1,Per Cup,$0.01,$0.01
Cucumber Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Cucumber Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Cucumber Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Cucumber Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Cucumber Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Cucumber Limeade,Ice,1,per lb,$0.19,$0.19
Cucumber Limeade,Water,2,per cup (8oz),$0.03,$0.06
Cucumber Limeade,Lime,1,Per Cup,$0.22,$0.22
Cucumber Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Cucumber Limeade,Cucumber,0.75,Per Oz,$0.30,$0.22
Cucumber Limeade,,,,Cost Per Drink,$1.08
Lavender Limeade,Straw,1,Per Cup,$0.01,$0.01
Lavender Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Lavender Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Lavender Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Lavender Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Lavender Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Lavender Limeade,Ice,1,per lb,$0.19,$0.19
Lavender Limeade,Water,2,per cup (8oz),$0.03,$0.06
Lavender Limeade,Lime,1,Per Cup,$0.22,$0.22
Lavender Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Lavender Limeade,Lavender,0.75,Per Oz,$0.29,$0.22
Lavender Limeade,,,,Cost Per Drink,$1.08
Peach Limeade,Straw,1,Per Cup,$0.01,$0.01
Peach Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Peach Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Peach Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Peach Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Peach Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Peach Limeade,Ice,1,per lb,$0.19,$0.19
Peach Limeade,Water,2,per cup (8oz),$0.03,$0.06
Peach Limeade,Lime,1,Per Cup,$0.22,$0.22
Peach Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Peach Limeade,Peach,0.75,Per Oz,$0.29,$0.22
Peach Limeade,,,,Cost Per Drink,$1.08
Pineapple Limeade,Straw,1,Per Cup,$0.01,$0.01
Pineapple Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Pineapple Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Pineapple Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Pineapple Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Pineapple Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Pineapple Limeade,Ice,1,per lb,$0.19,$0.19
Pineapple Limeade,Water,2,per cup (8oz),$0.03,$0.06
Pineapple Limeade,Lime,1,Per Cup,$0.22,$0.22
Pineapple Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Pineapple Limeade,Pineapple,0.75,Per Oz,$0.29,$0.22
Pineapple Limeade,,,,Cost Per Drink,$1.08
Raspberry Limeade,Straw,1,Per Cup,$0.01,$0.01
Raspberry Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Raspberry Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Raspberry Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Raspberry Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Raspberry Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Raspberry Limeade,Ice,1,per lb,$0.19,$0.19
Raspberry Limeade,Water,2,per cup (8oz),$0.03,$0.06
Raspberry Limeade,Lime,1,Per Cup,$0.22,$0.22
Raspberry Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Raspberry Limeade,Raspberry,0.75,Per Oz,$0.29,$0.22
Raspberry Limeade,,,,Cost Per Drink,$1.08
Strawberry Limeade,Straw,1,Per Cup,$0.01,$0.01
Strawberry Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Strawberry Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Strawberry Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Strawberry Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Strawberry Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Strawberry Limeade,Ice,1,per lb,$0.19,$0.19
Strawberry Limeade,Water,2,per cup (8oz),$0.03,$0.06
Strawberry Limeade,Lime,1,Per Cup,$0.22,$0.22
Strawberry Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Strawberry Limeade,Strawberry,0.75,Per Oz,$0.29,$0.22
Strawberry Limeade,,,,Cost Per Drink,$1.08
Watermelon Limeade,Straw,1,Per Cup,$0.01,$0.01
Watermelon Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Watermelon Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Watermelon Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Watermelon Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Watermelon Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Watermelon Limeade,Ice,1,per lb,$0.19,$0.19
Watermelon Limeade,Water,2,per cup (8oz),$0.03,$0.06
Watermelon Limeade,Lime,1,Per Cup,$0.22,$0.22
Watermelon Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Watermelon Limeade,Watermelon,0.75,Per Oz,$0.29,$0.22
Watermelon Limeade,,,,Cost Per Drink,$1.08
French Vanilla Limeade,Straw,1,Per Cup,$0.01,$0.01
French Vanilla Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
French Vanilla Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
French Vanilla Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
French Vanilla Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
French Vanilla Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
French Vanilla Limeade,Ice,1,per lb,$0.19,$0.19
French Vanilla Limeade,Water,2,per cup (8oz),$0.03,$0.06
French Vanilla Limeade,Lime,1,Per Cup,$0.22,$0.22
French Vanilla Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
French Vanilla Limeade,French Vanilla,0.75,Per Oz,$0.29,$0.22
French Vanilla Limeade,,,,Cost Per Drink,$1.08
Cherry Limeade,Straw,1,Per Cup,$0.01,$0.01
Cherry Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Cherry Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Cherry Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Cherry Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Cherry Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Cherry Limeade,Ice,1,per lb,$0.19,$0.19
Cherry Limeade,Water,2,per cup (8oz),$0.03,$0.06
Cherry Limeade,Lime,1,Per Cup,$0.22,$0.22
Cherry Limeade,Simple Syrup,2,Per Oz,$0.03,$0.07
Cherry Limeade,Cherry,1,Per Oz,$0.29,$0.29
Cherry Limeade,,,,Cost Per Drink,$1.15
Sugar Free Limeade,Straw,1,Per Cup,$0.01,$0.01
Sugar Free Limeade,Cup & Lid,1,Per Cup,$0.21,$0.21
Sugar Free Limeade,Sticker (Logo),1,Per Cup,$0.05,$0.05
Sugar Free Limeade,Sticker Printer,1,Per Cup,$0.01,$0.01
Sugar Free Limeade,Sticker Menu,0,Per Cup,$0.05,$0.00
Sugar Free Limeade,Cup Labor,1,Per Cup,$0.06,$0.06
Sugar Free Limeade,Ice,1,per lb,$0.19,$0.19
Sugar Free Limeade,Water,2,per cup (8oz),$0.03,$0.06
Sugar Free Limeade,Lime,1,Per Cup,$0.22,$0.22
Sugar Free Limeade,Sugar Free Simple Syrup,6,Per Oz,$0.13,$0.75
