date,locationId,grossSales,modifierRevenue,discounts,netSales,tips,squareFees,squareTax,totalCollected,totalWithModifiers
2025-08-09,LVRQ3C0APF339,1769.00,0.00,1.50,0.00,106.20,0.00,0.00,1767.50,1769.00
2025-08-09,LVYBM098599TD,2207.00,0.00,27.00,0.00,113.60,0.00,0.00,2180.00,2207.00
2025-08-09,L29CDXV71TXHW,1599.00,0.00,157.00,0.00,54.80,0.00,0.00,1442.00,1599.00
2025-08-09,L0Y3QBSRV39VN,3838.00,0.00,92.00,0.00,373.75,0.00,0.00,3746.00,3838.00
2025-08-10,L0Y3QBSRV39VN,645.00,0.00,0.00,0.00,57.15,0.00,0.00,645.00,645.00
2025-08-15,L0Y3QBSRV39VN,1352.00,0.00,24.00,0.00,32.10,0.00,0.00,1328.00,1352.00
2025-08-16,LVRQ3C0APF339,1047.00,0.00,16.00,0.00,76.10,0.00,0.00,1031.00,1047.00
2025-08-16,LVYBM098599TD,676.00,0.00,34.00,0.00,28.55,0.00,0.00,642.00,676.00
2025-08-16,L29CDXV71TXHW,514.00,0.00,28.50,0.00,37.15,0.00,0.00,485.50,514.00
2025-08-22,LVYBM098599TD,2321.00,0.00,92.00,0.00,83.15,0.00,0.00,2229.00,2321.00
2025-08-23,LVYBM098599TD,724.00,0.00,11.50,0.00,56.55,0.00,0.00,712.50,724.00
2025-08-25,LVRQ3C0APF339,157.00,0.00,0.00,0.00,7.40,0.00,0.00,157.00,157.00
2025-08-25,LVYBM098599TD,563.00,0.00,0.00,0.00,24.65,0.00,0.00,563.00,563.00
2025-08-26,LVYBM098599TD,577.00,0.00,1.50,0.00,41.30,0.00,0.00,575.50,577.00
2025-08-28,LVYBM098599TD,750.00,0.00,0.00,0.00,27.40,0.00,0.00,750.00,750.00
2025-08-28,L29CDXV71TXHW,737.00,0.00,18.75,0.00,39.86,0.00,0.00,718.25,737.00
2025-08-28,L0Y3QBSRV39VN,263.00,0.00,12.00,0.00,25.25,0.00,0.00,251.00,263.00
2025-08-29,LVYBM098599TD,693.00,0.00,0.00,0.00,32.40,0.00,0.00,693.00,693.00
2025-08-29,L29CDXV71TXHW,2167.00,0.00,20.50,0.00,150.37,0.00,0.00,2146.50,2167.00
2025-08-29,L0Y3QBSRV39VN,1334.00,0.00,37.50,0.00,58.60,0.00,0.00,1303.50,1334.00
2025-08-30,LVYBM098599TD,3223.00,0.00,22.00,0.00,116.75,0.00,0.00,3201.00,3223.00
2025-08-30,L29CDXV71TXHW,3009.00,0.00,19.00,0.00,166.80,0.00,0.00,2990.00,3009.00
2025-08-30,L0Y3QBSRV39VN,1502.00,0.00,41.00,0.00,83.70,0.00,0.00,1461.00,1502.00
2025-08-31,LVYBM098599TD,1396.00,0.00,25.50,0.00,72.05,0.00,0.00,1370.50,1396.00
2025-08-31,L0Y3QBSRV39VN,1037.00,0.00,11.40,0.00,66.50,0.00,0.00,1025.60,1037.00
2025-09-01,LVYBM098599TD,1099.00,0.00,0.00,0.00,70.45,0.00,0.00,1099.00,1099.00
2025-09-01,L0Y3QBSRV39VN,4179.00,0.00,2.25,0.00,231.72,0.00,0.00,4176.75,4179.00
2025-09-05,L29CDXV71TXHW,1528.00,0.00,26.00,0.00,49.40,0.00,0.00,1502.00,1528.00
2025-09-06,L29CDXV71TXHW,1797.00,0.00,0.00,0.00,142.30,0.00,0.00,1797.00,1797.00
2025-09-06,L0Y3QBSRV39VN,814.00,0.00,2.00,0.00,58.05,0.00,0.00,812.00,814.00
2025-09-08,LVRQ3C0APF339,150.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,150.00
2025-09-12,LVRQ3C0APF339,1745.00,0.00,4.00,0.00,104.15,0.00,0.00,1741.00,1745.00
2025-09-13,LVRQ3C0APF339,1168.00,0.00,1.50,0.00,84.45,0.00,0.00,1166.50,1168.00
2025-09-13,LVYBM098599TD,3571.00,0.00,13.00,0.00,346.46,0.00,0.00,3558.00,3571.00
2025-09-13,L29CDXV71TXHW,791.00,0.00,3.50,0.00,50.55,0.00,0.00,787.50,791.00
2025-09-13,L0Y3QBSRV39VN,783.00,0.00,12.00,0.00,58.95,0.00,0.00,771.00,783.00
2025-09-17,LVRQ3C0APF339,1462.00,0.00,34.00,0.00,85.75,0.00,0.00,1428.00,1462.00
2025-09-18,L29CDXV71TXHW,2853.00,0.00,89.00,0.00,73.10,0.00,0.00,2764.00,2853.00
2025-09-19,LVRQ3C0APF339,185.00,0.00,8.00,0.00,25.60,0.00,0.00,177.00,185.00
2025-09-19,L0Y3QBSRV39VN,843.00,0.00,159.00,0.00,23.40,0.00,0.00,684.00,843.00
2025-09-20,LVRQ3C0APF339,117.00,0.00,0.00,0.00,9.65,0.00,0.00,117.00,117.00
2025-09-21,LVRQ3C0APF339,119.00,0.00,8.00,0.00,11.45,0.00,0.00,111.00,119.00
2025-09-22,LVRQ3C0APF339,1602.50,0.00,0.00,0.00,0.00,0.00,0.00,400.62,1602.50
2025-09-25,LVRQ3C0APF339,1108.00,0.00,24.00,0.00,106.75,0.00,0.00,1084.00,1108.00
2025-09-26,LVRQ3C0APF339,301.00,0.00,22.00,0.00,25.20,0.00,0.00,279.00,301.00
2025-09-26,L29CDXV71TXHW,1357.00,0.00,28.00,0.00,58.90,0.00,0.00,1337.00,1357.00
2025-09-27,LVRQ3C0APF339,1536.00,0.00,38.00,0.00,138.50,0.00,0.00,1498.00,1536.00
2025-09-27,L29CDXV71TXHW,1154.00,0.00,90.50,0.00,102.90,0.00,0.00,1063.50,1154.00
2025-09-28,LVRQ3C0APF339,1130.00,0.00,20.50,0.00,74.60,0.00,0.00,1109.50,1130.00
2025-09-29,LVYBM098599TD,158.00,0.00,30.00,0.00,6.10,0.00,0.00,128.00,158.00
2025-09-30,LVYBM098599TD,85.00,0.00,0.00,0.00,3.00,0.00,0.00,85.00,85.00
2025-09-31,LVYBM098599TD,243.00,0.00,20.50,0.00,26.95,0.00,0.00,222.50,243.00
2025-10-01,LVYBM098599TD,243.00,0.00,20.50,0.00,26.95,0.00,0.00,222.50,243.00
2025-10-02,LVYBM098599TD,514.00,0.00,2.00,0.00,34.35,0.00,0.00,519.00,514.00
2025-10-02,L29CDXV71TXHW,1354.00,0.00,74.00,0.00,76.95,0.00,0.00,1280.00,1354.00
2025-10-03,LVYBM098599TD,413.00,0.00,8.00,0.00,20.55,0.00,0.00,405.00,413.00
2025-10-03,L29CDXV71TXHW,437.00,0.00,41.00,0.00,24.10,0.00,0.00,396.00,437.00
2025-10-03,L0Y3QBSRV39VN,1203.00,0.00,43.00,0.00,54.10,0.00,0.00,1160.00,1203.00
2025-10-04,LVYBM098599TD,29.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,29.00
2025-10-05,LVYBM098599TD,921.00,0.00,73.00,0.00,48.60,0.00,0.00,848.00,921.00
2025-10-06,LVYBM098599TD,93.00,0.00,0.00,0.00,5.40,0.00,0.00,93.00,93.00
2025-10-07,LVRQ3C0APF339,1602.50,0.00,0.00,0.00,175.00,0.00,0.00,1201.88,1602.50
2025-10-07,LVYBM098599TD,131.00,0.00,43.00,0.00,7.70,0.00,0.00,88.00,131.00
2025-10-08,LVYBM098599TD,426.00,0.00,18.00,0.00,36.55,0.00,0.00,408.00,426.00
2025-10-09,LVYBM098599TD,570.00,0.00,16.00,0.00,31.00,0.00,0.00,554.00,570.00
2025-10-09,L29CDXV71TXHW,962.00,0.00,22.50,0.00,70.90,0.00,0.00,939.50,962.00
2025-10-10,LVYBM098599TD,1371.00,0.00,0.00,0.00,89.45,0.00,0.00,1371.00,1371.00
2025-10-10,L29CDXV71TXHW,913.00,0.00,31.00,0.00,64.20,0.00,0.00,882.00,913.00
2025-10-10,L0Y3QBSRV39VN,5972.00,0.00,67.00,0.00,460.50,0.00,0.00,5905.00,5972.00
2025-10-11,LVYBM098599TD,599.00,0.00,1.50,0.00,41.35,0.00,0.00,597.50,599.00
2025-10-11,L29CDXV71TXHW,1331.00,0.00,59.00,0.00,90.50,0.00,0.00,1272.00,1331.00
2025-10-11,L0Y3QBSRV39VN,4250.00,0.00,22.00,0.00,412.43,0.00,0.00,4228.00,4250.00
2025-10-12,LVYBM098599TD,2528.00,0.00,18.00,0.00,133.85,0.00,0.00,2510.00,2528.00
2025-10-12,L0Y3QBSRV39VN,9204.00,0.00,148.25,0.00,786.50,0.00,0.00,9063.75,9204.00
2025-10-13,LVYBM098599TD,424.00,0.00,24.00,0.00,24.40,0.00,0.00,400.00,424.00
2025-10-14,LVYBM098599TD,396.00,0.00,25.50,0.00,21.50,0.00,0.00,370.50,396.00
2025-10-15,LVRQ3C0APF339,267.00,0.00,8.00,0.00,14.00,0.00,0.00,259.00,267.00
2025-10-15,LVYBM098599TD,189.00,0.00,0.00,0.00,14.55,0.00,0.00,189.00,189.00
2025-10-16,LVRQ3C0APF339,1074.00,0.00,8.00,0.00,67.45,0.00,0.00,1066.00,1074.00
2025-10-16,LVYBM098599TD,329.00,0.00,22.00,0.00,18.35,0.00,0.00,307.00,329.00
2025-10-17,LVRQ3C0APF339,1831.00,0.00,21.00,0.00,119.30,0.00,0.00,1810.00,1831.00
2025-10-17,LVYBM098599TD,1286.00,0.00,0.00,0.00,58.55,0.00,0.00,1286.00,1286.00
2025-10-18,LVRQ3C0APF339,2495.00,0.00,77.00,0.00,129.90,0.00,0.00,2418.00,2495.00
2025-10-18,LVYBM098599TD,3122.00,0.00,32.00,0.00,189.50,0.00,0.00,3090.00,3122.00
2025-10-18,L0Y3QBSRV39VN,1288.00,0.00,51.50,0.00,103.05,0.00,0.00,1236.50,1288.00
2025-10-19,LVYBM098599TD,4186.00,0.00,11.75,0.00,268.94,0.00,0.00,4174.25,4186.00
2025-10-20,LVYBM098599TD,240.00,0.00,16.00,0.00,11.60,0.00,0.00,224.00,240.00
2025-10-21,LVYBM098599TD,312.00,0.00,12.00,0.00,22.20,0.00,0.00,300.00,312.00
2025-10-22,LVYBM098599TD,430.00,0.00,26.00,0.00,31.50,0.00,0.00,404.00,430.00
2025-10-23,LVYBM098599TD,824.00,0.00,26.00,0.00,62.60,0.00,0.00,804.00,824.00
2025-10-24,LVYBM098599TD,855.00,0.00,21.50,0.00,44.70,0.00,0.00,839.50,855.00
2025-10-24,L0Y3QBSRV39VN,1558.00,0.00,25.00,0.00,132.25,0.00,0.00,1533.00,1558.00
2025-10-25,LVYBM098599TD,2852.00,0.00,37.00,0.00,210.52,0.00,0.00,2894.00,2852.00
2025-10-25,L0Y3QBSRV39VN,2092.00,0.00,78.50,0.00,169.35,0.00,0.00,2013.50,2092.00
2025-10-26,LVYBM098599TD,1366.00,0.00,32.75,0.00,111.45,0.00,0.00,1333.25,1366.00
2025-10-27,LVYBM098599TD,221.00,0.00,16.00,0.00,17.00,0.00,0.00,205.00,221.00
2025-10-28,LVYBM098599TD,198.00,0.00,26.00,0.00,11.90,0.00,0.00,172.00,198.00
2025-10-29,LVYBM098599TD,291.00,0.00,13.00,0.00,18.65,0.00,0.00,278.00,291.00
2025-10-30,LVYBM098599TD,381.00,0.00,0.00,0.00,24.90,0.00,0.00,381.00,381.00
2025-10-31,LVYBM098599TD,270.00,0.00,0.00,0.00,17.40,0.00,0.00,270.00,270.00
2025-11-01,LVYBM098599TD,369.00,0.00,54.00,0.00,29.20,0.00,0.00,315.00,369.00
2025-12-05,LVYBM098599TD,354.00,0.00,10.00,0.00,19.85,0.00,0.00,344.00,354.00
2025-12-06,LVYBM098599TD,1502.00,0.00,55.00,0.00,92.50,0.00,0.00,1479.00,1502.00
